gnome-menus 3.13.3-2
gnome-mime-data 2.18.0-7
gnome-music 3.20.2-1
gnome-online-accounts 3.20.1-1
gnome-online-miners 3.20.0-1
gnome-photos 3.20.1-1
gnome-screenshot 3.20.0-1
gnome-session 3.20.1-1
gnome-settings-daemon 3.20.1+8+g40bf4fd-1
gnome-shell 3.20.2-1
gnome-system-monitor 3.20.1-1
gnome-terminal 3.20.2-1
gnome-themes-standard 3.20.2-1
gnome-vfs 2.24.4-9
gnupg 2.1.12-2
gnutls 3.4.13-1
gobject-introspection-runtime 1.48.0-1
gom 0.3.2-1
google-musicmanager 1.0.243.1116_r0-1
gpgme 1.6.0-2
gpm 1.20.7-6
graphene 1.4.0-1
graphicsmagick 1.3.24-1
graphite 1:1.3.8-1
graphviz 2.38.0-12
grep 2.25-2
grilo 0.3.1-1
grilo-plugins 0.3.2-1
groff 1.22.3-6
grub 1:2.02.beta2-6
grub-customizer 4.0.6-2
grub2-theme-antergos 0.1-1
gsettings-desktop-schemas 3.21.2-1
gsfonts 20150811-1
gsl 2.1-2
gsm 1.0.14-1
gspell 1.0.2-1
gssdp 0.14.15-1
gssproxy 0.5.0-3
gst-libav 1.8.2-1
gst-plugins-bad 1.8.2-2
gst-plugins-base 1.8.2-1
gst-plugins-base-libs 1.8.2-1
gst-plugins-good 1.8.2-1
gst-plugins-ugly 1.8.2-1
gstreamer 1.8.2-1
gstreamer-vaapi 1.8.2-1
gstreamer0.10 0.10.36-4
gstreamer0.10-bad 0.10.23-15
gstreamer0.10-bad-plugins 0.10.23-15
gstreamer0.10-base 0.10.36-3
gstreamer0.10-base-plugins 0.10.36-3
gstreamer0.10-ffmpeg 0.10.13-2
gstreamer0.10-good 0.10.31-10
gstreamer0.10-good-plugins 0.10.31-10
gstreamer0.10-ugly 0.10.19-16
gstreamer0.10-ugly-plugins 0.10.19-16
gtk-doc 1.25-1
gtk-engine-murrine 0.98.2-2
gtk-engines 2.21.0-3
gtk-update-icon-cache 3.20.6-1
gtk2 2.24.30-2
gtk3 3.20.6-1
gtkmm 2.24.4-2
gtkmm3 3.20.1-1
gtksourceview3 3.20.3-1
gtkspell 2.0.16-3
gts 0.7.6-3
guile 2.0.11-3
gupnp 0.20.17-1
gupnp-av 0.12.8-1
gupnp-dlna 0.10.4-1
gvfs 1.28.2-1
gvfs-mtp 1.28.2-1
gzip 1.8-2
harfbuzz 1.2.7-1
harfbuzz-icu 1.2.7-1
haveged 1.9.1-2
hdf5 1.10.0-1
hexchat 2.12.1-3
hicolor-icon-theme 0.15-1
hplip 3.16.5-3
hspell 1.3-1
http-parser 2.7.0-1
hunspell 1.3.4-1
hwids 20160306-1
hwloc 1.11.3-2
hyphen 2.8.8-1
i3-gaps 4.12-1
i3blocks 1.4-2
iana-etc 20160513-1
icedtea-web 1.6.2-2
icu 57.1-1
idnkit 1.0-3
ilmbase 2.2.0-2
imagemagick 6.9.4.6-2
imake 1.0.7-1
imlib2 1.4.9-1
inetutils 1.9.4-2
iniparser 4.0-2
inputproto 2.3.2-1
intel-tbb 4.4_20160526-1
intltool 0.51.0-1
iproute2 4.5.0-2
iptables 1.6.0-1
iputils 20160308.0db72a4-1
ipw2100-fw 1.3-7
ipw2200-fw 3.1-5
iso-codes 3.68-1
itstool 2.0.2-1
iw 4.3-1
jack 0.124.1-6
jansson 2.7-1
jasper 1.900.1-15
java-environment-common 2-2
java-runtime-common 2-2
jbig2dec 0.12-1
jdk8-openjdk 8.u92-1
jfsutils 1.1.15-4
jre8-openjdk 8.u92-1
jre8-openjdk-headless 8.u92-1
js 24.2.0-3
js17 17.0.0-3
jshon 20131105-1
json-c 0.12-2
json-glib 1.2.0-1
jsoncpp 1.7.2-1
kbd 2.0.3-1
kbproto 1.0.7-1
keyutils 1.5.9-1
kmod 22-1
krb5 1.13.4-1
ladspa 1.13-6
lame 3.99.5-3
lapack 3.6.0-5
lcms 1.19-5
lcms2 2.7-1
ldb 1.1.26-1
ldns 1.6.17-4
lemonbar-git v1.2.r2.gd680ea4-1
lemonbuddy 0.1.0-2
leptonica 1.73-1
less 481-2
lesstif 0.95.2-6
lib32-acl 2.2.52-2
lib32-alsa-lib 1.1.1-1
lib32-attr 2.4.47-1
lib32-bzip2 1.0.6-2
lib32-elfutils 0.166-1
lib32-expat 2.1.1-3
lib32-flac 1.3.1-2
lib32-fontconfig 2.11.95-1
lib32-freetype2 2.6.3-1
lib32-gcc-libs 6.1.1-2
lib32-glib2 2.48.1-1
lib32-glibc 2.23-5
lib32-harfbuzz 1.2.7-1
lib32-icu 57.1-1
lib32-json-c 0.12-1
lib32-lcms2 2.7-1
lib32-libasyncns 0.8-7
lib32-libcap 2.25-1
lib32-libdbus 1.10.8-1
lib32-libdrm 2.4.68-1
lib32-libffi 3.2.1-1
lib32-libgcrypt 1.7.0-1
lib32-libgpg-error 1.22-1
lib32-libice 1.0.9-1
lib32-libidn 1.32-1
lib32-libjpeg-turbo 1.4.2-1
lib32-libmng 2.0.3-1
lib32-libogg 1.3.2-1
lib32-libpciaccess 0.13.4-1
lib32-libpng 1.6.21-1
lib32-libpulse 8.0-1
lib32-libsm 1.2.2-1
lib32-libsndfile 1.0.26-1
lib32-libtiff 4.0.6-2
